Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
27-Jan-10,"University of California, San Francisco",,California,PHYS,MED,"7,300","\N
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
3-Mar-10,North Carolina Baptist Hospital,,North Carolina,PHYS,MED,554,"An employee’s car was broken into and a tote bag, which had a paper spreadsheet containing protected health information (PHI), was stolen.  The spreadsheet contained PHI pertaining to 554 patients and included patients’ names, ages, weight, race, social security numbers, and blood and tissue typing.  The covered entity (CE), North Carolina Baptist Hospital, provided breach notification to HHS, affected individuals, and the media, and offered affected individuals a year of credit monitoring services along with a toll-free number to contact.  Following the breach, the CE reviewed the applicable policies and procedures with the clinic responsible, revised the spreadsheet to no longer include patients’ social security numbers, and counseled and warned the involved employee about the requirements for properly safeguarding PHI.  Additionally, the Chief Executive Officer of the Medical Center emailed all employees to re-educate them about the importance of properly safeguarding PHI and the expectations for compliance and commitment to adhering to federal and state privacy and security laws.  As a result of OCR’s investigation, the CE provided an alternate, secure way to electronically access the clinic spreadsheet, installed video cameras in the parking dock, and externally inspected employee vehicles to assure no PHI was visible.  The CE established a Privacy and Information Security Council to help identify ways to improve and strengthen privacy and security policies and practices.
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
9-Mar-10,Montefiore Medical Center,,New York,PHYS,MED,625,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 625 individuals was stolen from the covered entity's (CE) mobile dental van.  The ePHI included names, dates of birth, medical record numbers and dental x-rays.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and affected individuals.  As a result of OCR's investigation, the CE revised its procedures so that all ePHI is stored in a data center, rather than the mobile dental van laptop.  In addition, the CE encrypted all mobile dental van laptops and improved physical security for the van.  The CE developed a new policy on ePHI security and retrained all staff.  OCR obtained assurances that the CE implemented the corrective action listed above.
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
23-Mar-10,Mount Sinai Medical Center,,Florida,PHYS,MED,"2,600","\N
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
26-Mar-10,Griffin Hospital,,Connecticut,HACK,MED,957,"\N
Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
5-Apr-10,Providence Hospital,,Michigan,UNKN,MED,"83,945","\N
Location of breached information: Other
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
16-Apr-10,Tomah Memorial Hospital,,Wisconsin,UNKN,MED,600,"A nurse impermissibly used the protected health information (PHI) of approximately 600 patients to obtain narcotics from the covered entity (CE), Tomah Memorial Hospital, for her own use.  The PHI involved in the breach included patients’ names and account numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE improved safeguards by creating a monthly audit of Schedule II narcotics, matched to the dispense log, medical order, and bill. OCR obtained assurances that the CE implemented the corrective actions listed above.  The CE also terminated the involved employee’s employment.
Location of breached information: Other
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
26-Apr-10,Medical Center At Bowling Green,,Kentucky,PHYS,MED,"5,148","\N
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,37.839333,-84.270018
1-Jun-10,Cincinnati Childrens Hospital Medical Center ,,Ohio,PHYS,MED,"60,998","An unencrypted laptop computer containing the electronic protected health information (ePHI) of 60,998 individuals was stolen out of a workforce member's car.  The ePHI stored on the laptop included names, medical record numbers, and services received.  The covered entity (CE) provided breach notification to affected individuals, HHS, and the media.  Following the breach, the CE established a new internal procedure to encrypt all new computers before they are given to employees.  OCR obtained assurances that the CE implemented the corrective action listed above.
\
\
\
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
8-Jun-10,St. Jude Children's Research Hospital,,Tennessee,PHYS,MED,"1,745","\N
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
14-Jun-10,The Children's Medical Center of Dayton,,Ohio,UNKN,MED,"1,001","\N
Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
10-May-17,Bronx Lebanon Hospital Center,New York,New York,DISC,MED,"7,000","""Medical records of at least 7,000 people compromised in a data breach involving Bronx Lebanon Hospital Center in New York disclosed patients' mental health and medical diagnoses, HIV statuses and sexual assault and domestic violence reports, according to records reviewed by NBC News.Other information in the compromised records, which online security experts said spanned 2014 to 2017, included names, home addresses, addiction histories and religious affiliations.Bob Diachenko, a security researcher with MacKeeper Security Research Center, told NBC News on Tuesday the leak was caused by a misconfigured Rsync backup server hosted by iHealth, a Louisville, Kentucky-based company that offers records management technology.It's unclear how long the records were exposed, but ""if you visited BLHC during that period of time, your patient history was probably there,"" Diachenko said.""",Media,http://www.nbcnews.com/news/us-news/thousands-patient-records-leaked-hospital-data-breach-n756981,2017,40.712784,-74.005941
2-May-17,Hill Country Memorial Hospital ,Federicksburg,Texas,HACK,MED,0,"""Hill Country has recently learned that, on February 21, 2017, the email account of an employee in our emergency room department was accessed by an unauthorized individual not affiliated with Hill Country.  Our investigation to date suggests that the individual used his access to the email account only for the purpose of submitting fraudulent invoices to our accounts payable department for payment.  However, we cannot confirm which, if any, emails in the account the individual accessed and whether there was any resulting acquisition, access, use, or disclosure of your personal information, but it is possible.  Therefore, out of an abundance of caution, we are notifying all potentially affected individuals about this issue. In that regard, it is possible that the individual may have had access to email (s) containing your following information.""",Vermont Attorney General,http://ago.vermont.gov/assets/files/Consumer/Security_Breach/Hill%20Country%20Memorial%20Hospital%20SBN%20to%20Consumers.pdf,2017,38.303184,-77.46054
23-Jul-10,Montefiore Medical Center,,New York,PHYS,MED,"16,820","Two unencrypted desktop computers containing the electronic protected health information (ePHI) of 16,820 individuals were stolen from the covered entity (CE).  The ePHI included medical record numbers, dates of birth, admission /discharge dates, billing codes, and social security numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and affected individuals.  It also provide substitute notification by posting on its website.  As a result of OCR's investigation, the CE replaced its building alarm and installed bars on the windows.  In addition, the CE directed its staff to save patient data only on a centralized network drive, moved all ePHI stored on desktop hard drives to centralized secured network servers, and encrypted all of its computers.   The CE also revised its policy and procedure on password management and provided training to all staff on its new policy.
Location of breached information: Desktop Computer
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.712784,-74.005941
30-Jul-10,Texas Children's Hospital,,Texas,PHYS,MED,694,"\N
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
5-Aug-10,Jewish Hospital,,Kentucky,PHYS,MED,"2,089","\N
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,37.839333,-84.270018
5-Aug-10,Aultman Hospital,,Ohio,PHYS,MED,"13,867","A password-protected laptop, which was maintained by the covered entity (CE), Aultman Hospital, was stolen from an employee’s car, which contained the electronic protected health information (ePHI) of approximately 13,867 individuals, including patients’ names, dates of birth, telephone numbers, social security numbers, insurance identification, and health information related to home health services.  The CE provided breach notification to HHS, affected individuals, and the media, posted notification of the breach on its website, and reported the theft to the local police department.  The CE also offered one year of free credit monitoring services to affected individuals. Following the breach, the CE revised its HIPAA policies and procedures, enhanced encryption and updated software on its laptops, sanctioned employee(s) involved in the breach incident, and retrained its workforce on the revised policies and procedures. OCR obtained documentation evidencing that the CE implemented the corrective actions listed.   
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
10-Sep-10,The Kent Center ,,Rhode Island,PHYS,MED,"1,361","A briefcase containing paper documents including the protected health information (PHI) of approximately 1,361 individuals was stolen from an employee’s car. The types of PHI involved in the breach included clients’ names, dates of birth, and for a small number of clients, limited clinical information.  The covered entity (CE), The Kent Center, provided breach notification to affected individuals, the media, and HHS.  Following the breach, the CE sanctioned the employee involved, revised its confidentiality policy related to safeguarding client lists, and re-trained its employees. Additionally, as a result of OCR’s investigation the CE revised and updated its breach notification policies and reinforced the requirements of the Privacy and Breach Rules to its employees.
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
23-Sep-10,"St. Vincent Hospital and Health Care Center, Inc.",,Indiana,PHYS,MED,"1,199","\N
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.267194,-86.134902
23-Sep-10,Oroville Hospital,,California,PHYS,MED,"1,474","The covered entity (CE) filed a breach report with OCR after two USB storage devices containing electronic protected health information (ePHI) of 1,474 individuals were lost.  The ePHI included names, dates of birth, and treatment information.  Upon discovery of the breach, the CE notified individuals, OCR and the media.  Additionally, the CE initiated an encryption project to encrypt emails, external hard drives, and related media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in an effort to better safeguard ePHI, and encrypted USB devices.
\
\
Location of breached information: Other, Other Portable Electronic Device
Business associate present: Yes
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
23-Sep-10,Eden Medical Center,,California,PHYS,MED,"1,474","The covered entity (CE) lost two portable electronic storage devices containing the electronic protected health information (ePHI) of 1,474 individuals.  The ePHI included patients' names, dates of birth, and treatment information.  Upon discovery of the breach, the covered entity (CE) notified individuals, HHS, and the media.  Additionally, the CE initiated a project to encrypt emails, external hard drives, and related electronic media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in order to better safeguard patients' ePHI, and encrypted portable electronic computer devices.
Location of breached information: Other, Other Portable Electronic Device
Business associate present: Yes
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
24-Sep-10,NewYork-Presbyterian Hospital and Columbia University Medical Center,,New York,PHYS,MED,"6,800","Data breach results in $4.8 million HIPAA settlements
\Two health care organizations have agreed to settle charges that they potentially violated the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules by failing to secure thousands of patients' electronic protected health information (ePHI) held on their network. The monetary payments of $4,800,000 include the largest HIPAA settlement to date.
\The U.S. Department of Health and Human Services (HHS) Office for Civil Rights (OCR) initiated its investigation of New York and Presbyterian Hospital (NYP) and Columbia University (CU) following their submission of a joint breach report, dated September 27, 2010, regarding the disclosure of the ePHI of 6,800 individuals, including patient status, vital signs, medications, and laboratory results.
\NYP and CU are separate covered entities that participate in a joint arrangement in which CU faculty members serve as attending physicians at NYP. The entities generally refer to their affiliation as 'New York Presbyterian Hospital/Columbia University Medical Center.' NYP and CU operate a shared data network and a shared network firewall that is administered by employees of both entities. The shared network links to NYP patient information systems containing ePHI.
\The investigation revealed that the breach was caused when a physician employed by CU who developed applications for both NYP and CU attempted to deactivate a personally-owned computer server on the network containing NYP patient ePHI. Because of a lack of technical safeguards, deactivation of the server resulted in ePHI being accessible on internet search engines. The entities learned of the breach after receiving a complaint by an individual who found the ePHI of the individual's deceased partner, a former patient of NYP, on the internet.
\In addition to the impermissible disclosure of ePHI on the internet, OCR's investigation found that neither NYP nor CU made efforts prior to the breach to assure that the server was secure and that it contained appropriate software protections. Moreover, OCR determined that neither entity had conducted an accurate and thorough risk analysis that identified all systems that access NYP ePHI. As a result, neither entity had developed an adequate risk management plan that addressed the potential threats and hazards to the security of ePHI. Lastly, NYP failed to implement appropriate policies and procedures for authorizing access to its databases and failed to comply with its own policies on information access management.
\'When entities participate in joint compliance arrangements, they share the burden of addressing the risks to protected health information,' said Christina Heide, Acting Deputy Director of Health Information Privacy for OCR. 'Our cases against NYP and CU should remind health care organizations of the need to make data security central to how they manage their information systems.'
\NYP has paid OCR a monetary settlement of $3,300,000 and CU $1,500,000, with both entities agreeing to a substantive corrective action plan, which includes undertaking a risk analysis, developing a risk management plan, revising policies and procedures, training staff, and providing progress reports.
\
Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
24-Sep-10,St. James Hospital and Health Centers,,Illinois,PHYS,MED,967,"\N
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
2-Nov-10,Northridge Hospital Medical Center,,California,PHYS,MED,716,"\N
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
15-Nov-10,Henry Ford Hospital,,Michigan,PHYS,MED,"3,700","\N
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
16-Nov-10,Holy Cross Hospital,,Florida,PHYS,MED,"1,500","A covered entity's (CE) employee impermissibly obtained copies of patient data sheets containing protected health information (PHI) and sold the PHI to a third party.  The PHI included names, addresses, dates of birth, social security numbers, insurance information, and diagnoses affecting 38 individuals; however, the initial investigation addressed a report of approximately 1,500 affected individuals.  The CE provided breach notification to 44,000 individuals (including those who were potentially affected), HHS and the media.  In addition, free credit monitoring was offered.  Following the breach, the CE cooperated with federal authorities, law enforcement, and the state health administration agency, and provided a report to a national accreditation organization.  As a result of this incident, the CE convened a high level work group to oversee privacy and security issues and hired an expert forensic investigator to perform a risk assessment.  The CE updated its privacy and security policies and procedures, developed a plan to adopt electronic health records and initiated a continuous review process including random HIPAA compliance audits.  The CE also expanded its HIPAA training program for employees.  OCR obtained written assurances that the CE implemented the corrective action listed above.
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
18-Nov-10,"Triple-S Salud, Inc.",,,PHYS,MED,"398,000","Triple-S Management Corporation (“TRIPLE-S”), on behalf of its wholly owned subsidiaries, Triple-S Salud Inc., Triple-C Inc. and Triple-S Advantage Inc. , formerly known as American Health Medicare Inc.,  has agreed to settle potential violations of the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules with the U.S. Department of Health and Human Services, Office for Civil Rights (OCR).  TRIPLE-S will pay $3.5 million and will adopt a robust corrective action plan to correct deficiencies in its HIPAA compliance program, an effort it has already begun.
“OCR remains committed to strong enforcement of the HIPAA Rules,” said OCR Director Jocelyn Samuels. “This case sends an important message for HIPAA Covered Entities not only about compliance with the requirements of the Security Rule, including risk analysis, but compliance with the requirements of the Privacy Rule, including those addressing business associate agreements and the minimum necessary use of protected health information.”
TRIPLE-S is an insurance holding company based in San Juan, Puerto Rico, which offers a wide range of insurance products and services to residents of Puerto Rico through its subsidiaries.  TRIPLE-S has fully cooperated with HHS in investigating this case and has agreed to put in place a comprehensive HIPAA compliance program as a condition for settlement.  
After receiving multiple breach notifications from TRIPLE-S involving unsecured protected health information (PHI), OCR initiated investigations to ascertain the entities’ compliance with HIPAA Rules. OCR’s investigations indicated widespread non-compliance throughout the various subsidiaries of Triple-S, including:
Failure to implement appropriate administrative, physical, and technical safeguards to protect the privacy of its beneficiaries’ PHI;
Impermissible disclosure of its beneficiaries’ PHI to an outside vendor with which it did not have an appropriate business associate agreement;
Use or Disclosure of more PHI than was necessary to carry out mailings;
Failure to conduct an accurate and thorough risk analysis that incorporates all IT equipment, applications, and data systems utilizing ePHI; and
Failure to implement security measures sufficient to reduce the risks and vulnerabilities to its ePHI to a reasonable and appropriate level.
The settlement requires TRIPLE-S to establish a comprehensive compliance program designed to protect the security, confidentiality, and integrity of the personal information it collects from its beneficiaries, that includes:
A risk analysis and a risk management plan;
A process to evaluate and address any environmental or operational changes that affect the security of the ePHI it holds;
Policies and procedures to facilitate compliance with requirements of the HIPAA Rules; and
A training program covering the requirements of the Privacy, Security, and Breach Notification Rules, intended to be used for all members of the workforce and business associates providing services on TRIPLE-S premises.
Triple-S, with the help of OCR through its technical assistance, had already begun to take extensive corrective action, as required by the Corrective Action Plan, and will continue to work with OCR to come into compliance with HIPAA.
“Triple-S is committed to protecting the privacy and security of its beneficiaries’ health information and implementing the Corrective Action Plan entered into with OCR,” said President and CEO of Triple-S Management Corporation, Ramon M. Ruiz.  “We are pleased with the agreement and regard it as an opportunity to strengthen our privacy policies. We have appreciated OCR’s technical assistance to date, and look forward to our collaboration in the future.”
Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,37.09024,-95.712891
29-Nov-10,Oklahoma City VA Medical Center,,Oklahoma,PHYS,MED,"1,950","\N
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
30-Nov-10,Kings County Hospital Center,,New York,PHYS,MED,542,"An unencrypted desktop computer that contained the electronic protected health information (ePHI) of 542 individuals was stolen from the covered entity (CE), Kings County Hospital Center.  The ePHI included names, medical record numbers, admission and treatment dates, diagnostic treatment, pathology and/or medication information, telephone numbers and ages.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE installed an encryption system for all internal and external computers and laptops.  The CE implemented a new policy that prohibits staff from storing ePHI on their local computer hard drives or Windows desktop.
Location of breached information: Desktop Computer
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
21-Dec-10,Riverside Mercy Hospital and Ohio/Mercy Diagnostics,,Ohio,PHYS,MED,"1,000","\N
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
29-Dec-10,Our Lady of Peace Hospital,,Kentucky,PHYS,MED,"24,600","\N
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,40.760537,-73.97889
12-Jan-11,St.Vincent Hospital - Indianapolis,,Indiana,HACK,MED,"1,848","\N
Location of breached information: Email, Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
11-Feb-11,Long Beach Memorial Medical Center,,California,DISC,MED,"2,250","\N
Location of breached information: Other
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
13-Feb-11,Texas Health Harris Methodist Hospital Azle,,Texas,PHYS,MED,"9,922","\N
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
21-Feb-11,Mountain Vista Medical Center,,Arizona,PHYS,MED,"2,291","\N
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
22-Feb-11,Departamento de Salud de Puerto Rico,,,PHYS,MED,"2,621","\N
Location of breached information: Desktop Computer
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,37.09024,-95.712891
23-Feb-11,Henry Ford Hospital,,Michigan,PHYS,MED,"2,777","\N
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
23-Mar-11,Texas Health Arlington Memorial Hospital,,Texas,UNKN,MED,654,"The IT department turned on the switch to a BA HIE without notifying patients of the exchange or obtaining authorization.  The interface transmitted the PHI of 654 individuals. The PHI disclosed included patient names, addresses, dates of birth, social security numbers, other identifiers, diagnosis/conditions, medications, lab results, other treatment information and financial information. Following the breach, the CE revised the IT process, created a checklist that included notifying the affected departments and provided  additional training to IT and registration employees.
\
Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
30-Mar-11,EISENHOWER MEDICAL CENTER,,California,PHYS,MED,"514,330","\N
Location of breached information: Desktop Computer
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
30-Mar-11,Clarksburg - Louis A. Johnson VA Medical Center,,West Virginia,DISC,MED,"1,470","\N
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
5-Apr-11,Hartford Hospital,,Connecticut,PHYS,MED,"93,500","A workforce member of the covered entity's (CE) business associate (BA) saved the electronic protected health information (ePHI) of approximately 93,500 patients on an unsecured computer drive in order to do work from home, and subsequently lost the hard drive.  The PHI included names, addresses, dates of birth, marital status, social security numbers and medical record numbers.  Following the breach, the workforce member involved was sanctioned for violating the CE's policies.  The CE provided breach notification to the media, HHS, and all affected individuals.  It also offered all affected individuals 2 years of free identity protection services.  In addition, the CE disabled the ability for all of its computing devices to download ePHI via USB connection ports.  Further, it began implementing malicious software prevention utilities as well as data encryption controls to supplement its portable computing devices.  OCR obtained assurances that the CE implemented the corrective action listed above.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.
\
\
\
\
Location of breached information: Other
Business associate present: Yes
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
25-Apr-11,MacNeal Hospital,,Illinois,HACK,MED,845,"\N
Location of breached information: Desktop Computer, Email, Laptop, Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.633125,-89.398528
25-Apr-11,West Lake Hospital ,,Illinois,HACK,MED,686,"\N
Location of breached information: Desktop Computer, Email, Laptop, Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
28-Apr-11,Knox Community Hospital,,Ohio,PHYS,MED,500,"\N
Location of breached information: Other
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
2-May-11,Speare Memorial Hospital,,New Hampshire,PHYS,MED,"5,960","\N
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
5-May-11,Methodist Charlton Medical Center,,Texas,PHYS,MED,"1,500","An unencrypted laptop was stolen from a locked office in the hospital.  The laptop contained the PHI of 1523 patients. The protected health information involved in the breach contained demographic and clinical data. Following the breach, the CE filed a police report, notified affected patients and notified the media. Additionally, the CE expanded its encryption policy to include more laptops and implemented additional physical safeguards.
\
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
6-May-11,Reid Hospital & Health Care Services,,Indiana,PHYS,MED,"22,001","An unencrypted, password protected laptop computer was stolen from an employee’s home on April 2, 2011.  The covered entity (CE), Reid Hospital & Health Care Services, reported that this breach affected 22,001 individuals and that the laptop contained names, social security numbers, Medicare numbers, and some reports entitled “psychiatric services.”  The CE investigated the breach and provided breach notification to HHS, affected individuals, and the media.  As a result of OCR’s investigation, the CE completed encryption of its laptop and desktop computers, implemented safeguards for its email system and smartphones, and updated its mobile media policy.  It also completed a new risk analysis and implemented action steps in its risk management plan.  OCR obtained assurances that the CE implemented the corrective actions listed above.
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
9-May-11,Indiana Regional Medical Center,,Pennsylvania,PHYS,MED,"1,388","\N
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,41.203322,-77.194525
19-May-11,St. Mary's Hospital for Children,,New York,PHYS,MED,550,"A bag containing 43 pages of protected health information (PHI) of 550 nursing home residents and an encrypted laptop computer were stolen from the vehicle of an employee of the covered entity's (CE) business associate (BA).  The PHI included names, dates of birth, gender identities, names of the nursing homes, and Medicaid numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and all affected individuals, as well as offering one year of free identity theft protection.  Following OCR's investigation, the CE's BA terminated the employee and re-trained its staff on its privacy and security policies, including not leaving laptops in unoccupied vehicles.  In addition, the CE reminded all contractors about the need to safeguard confidential information, and reviewed the BA's contractual obligations relating to safeguarding PHI.   The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.
Location of breached information: Paper/Films
Business associate present: Yes
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
2-Jun-11,Saint Joseph - Berea,,Kentucky,PHYS,MED,"1,986","The covered entity (CE), St. Joseph-Berea discovered that an external back-up hard drive attached to a workstation was missing. The external hard drive included the protected health information of 1,986 individuals, including patients’ names, dates of birth and information related to bone density scans.  The CE provided breach notification to HHS, affected individuals, and the media and performed substitute notice by posting on its website.  Following the breach, the CE updated its procedures to limit the use of external hard drives,  encrypted all laptops, desktops, servers, and portable media devices, and improved  safeguards by monitoring physical workstation access and maintaining observation cameras. As a result of OCR’s investigation, OCR obtained assurances that the corrective actions listed above were completed.
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,40.760537,-73.97889
8-Jun-11,Lower Umpqua Hospital,,Oregon,PHYS,MED,"17,000","\N
Location of breached information: Other, Other Portable Electronic Device
Business associate present: Yes
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2011,43.804133,-120.554201
